firstname,lastname,dob,gender,ssnlast4digit
Shannon,Jones,1936-11-06,Female,2469
James,Rogers,1975-11-18,Male,0154
Lori,Turner,2005-03-02,Female,3287
Joshua,Adams,1966-01-28,Female,9753
Jennifer,Williams,1982-09-30,Female,5895
Albert,Montgomery,1983-01-30,Male,2558
James,Oconnor,1996-11-26,Female,4742
George,Hansen,1964-10-23,Male,3047
Seth,Johnson,1969-11-02,Male,1026
Dylan,Houston,2005-07-31,Female,5022
Amy,White,1964-02-10,Male,2978
Joseph,Anderson,1949-04-26,Male,0944
Jennifer,Clements,1954-01-06,Female,0755
Rebecca,Herrera,1943-08-21,Female,7848
Jake,Wilkinson,1969-07-05,Female,1292
Jennifer,Davidson,1994-07-10,Female,3096
Peter,Conner,1938-10-28,Male,7359
Ebony,Thomas,1955-11-16,Female,5451
Larry,White,1964-09-01,Female,7395
Kristina,Kelley,1936-06-04,Male,9188
Ann,Shaw,1952-08-13,Female,5244
Joshua,Smith,1996-11-16,Male,8114
Linda,Farmer,1933-10-04,Female,3122
William,Ritter,1979-08-12,Female,1989
David,Miller,1963-08-20,Female,4850
Kelly,Ramirez,1996-09-08,Male,3731
Scott,Woods,1956-10-03,Female,5039
Timothy,Armstrong,1933-10-19,Female,0777
Nina,Miles,2001-04-13,Female,1772
Devin,Carroll,1988-10-09,Male,1397
Caroline,House,1970-04-27,Male,1685
William,Thompson,1970-08-06,Female,1670
Andrea,Williams,1961-10-01,Male,9075
Cassie,Peck,1998-12-13,Male,5450
Amy,Cox,1952-09-19,Male,2253
George,Webb,1998-05-29,Male,7210
Elizabeth,Clark,1972-05-04,Male,5938
Nancy,Nelson,1961-01-04,Male,7522
Dennis,Dixon,1937-06-30,Female,6504
Cynthia,Woods,1964-01-21,Female,8285
Paul,Anderson,1992-02-12,Female,5813
Jose,Willis,1950-09-24,Female,5994
Alyssa,Rodgers,1951-09-15,Female,9941
Jonathan,Hughes,1997-01-27,Male,7741
Joshua,Vega,2003-07-06,Female,2391
Mary,Harris,1988-11-25,Female,1131
Andres,Wolfe,1976-01-10,Male,3871
Kimberly,Long,1946-01-28,Female,1087
Amanda,Woods,1996-08-25,Female,9434
Lori,Fuller,1980-05-13,Male,3129
Brandy,Soto,1955-05-15,Male,5792
Victoria,Webb,1988-06-28,Male,1128
John,Howard,2004-01-15,Male,9385
Jack,Tran,1966-04-09,Male,6277
Deanna,Burke,1992-08-26,Male,0015
Bobby,Cook,1979-01-16,Male,4160
Nathan,Collins,1951-01-09,Male,1624
Darin,Sandoval,1962-04-06,Female,5962
Madison,Miranda,1976-02-10,Female,1954
Chad,Schmidt,1970-11-14,Female,2319
Vanessa,Graham,1946-09-06,Male,8345
Jennifer,Saunders,1945-01-06,Male,1567
Michael,Thompson,1991-05-18,Female,9758
Laura,Bell,1945-06-09,Male,1643
Donna,Simmons,1938-09-16,Male,5032
Rhonda,Diaz,1967-03-16,Female,1371
